date,skill,model,input_tokens,output_tokens,cache_read,cache_creation
2026-04-17,narrative-tracker,claude-opus-4-6,267,4685,466813,32218
2026-04-17,fetch-tweets,claude-opus-4-6,1945,17570,1613304,61832
2026-04-17,heartbeat,claude-opus-4-6,191,2376,84760,36185
2026-04-17,heartbeat,claude-opus-4-6,6,2133,104832,17300
2026-04-17,heartbeat,claude-opus-4-6,6,2267,104989,17408
2026-04-17,heartbeat,claude-opus-4-6,6,1775,104529,17024
2026-04-18,heartbeat,claude-opus-4-6,8,2455,163273,18140
2026-04-18,heartbeat,claude-opus-4-6,7,2150,135096,18266
2026-04-18,heartbeat,claude-opus-4-6,6,2281,106200,17966
2026-04-19,heartbeat,claude-opus-4-6,8,2045,163389,18023
2026-04-19,heartbeat,claude-opus-4-6,6,1983,105573,18026
2026-04-19,heartbeat,claude-opus-4-6,6,2127,104267,16484
2026-04-20,heartbeat,claude-opus-4-6,7,1827,131775,16342
2026-04-20,heartbeat,claude-opus-4-6,6,2119,104387,16310
2026-04-20,heartbeat,claude-opus-4-6,6,2120,104368,16940
2026-04-20,heartbeat,claude-opus-4-6,7,2127,132435,17166
2026-04-21,heartbeat,claude-opus-4-6,5,1762,78470,16405
2026-04-21,heartbeat,claude-opus-4-6,8,2382,160357,17355
2026-04-21,heartbeat,claude-opus-4-6,6,2219,104548,17298
2026-04-22,heartbeat,claude-opus-4-6,7,1911,132743,16792
2026-04-22,heartbeat,claude-opus-4-6,6,2055,104807,17135
2026-04-22,heartbeat,claude-opus-4-6,6,2032,104204,16630
2026-04-22,heartbeat,claude-opus-4-6,7,2100,133253,17549
2026-04-22,heartbeat,claude-opus-4-6,6,2089,105325,17687
2026-04-23,heartbeat,claude-opus-4-6,6,2657,106095,17753
2026-04-23,heartbeat,claude-opus-4-6,7,2292,132795,17544
2026-04-23,heartbeat,claude-opus-4-6,903,2059,104042,16933
2026-04-24,heartbeat,claude-opus-4-6,5,2342,79079,17373
2026-04-24,heartbeat,claude-opus-4-6,6,2558,104985,17017
2026-04-24,heartbeat,claude-opus-4-6,5,2321,79401,17671
2026-04-24,heartbeat,claude-opus-4-6,5,2160,79599,17678
2026-04-25,heartbeat,claude-opus-4-6,8,1998,160575,16902
2026-04-25,heartbeat,claude-opus-4-6,6,2268,104796,17372
2026-04-25,heartbeat,claude-opus-4-6,5,2245,79243,17396
2026-04-25,heartbeat,claude-opus-4-6,6,2025,105149,17491
2026-04-25,heartbeat,claude-opus-4-6,6,2246,105814,17828
2026-04-26,heartbeat,claude-opus-4-6,8,2118,161751,17415
2026-04-26,heartbeat,claude-opus-4-6,6,2225,105168,17707
2026-04-26,heartbeat,claude-opus-4-6,6,2123,104684,17025
2026-04-26,heartbeat,claude-opus-4-6,6,2199,103653,18776
2026-04-26,heartbeat,claude-opus-4-6,6,2120,105749,17411
2026-04-27,heartbeat,claude-opus-4-6,7,1827,133832,17275
2026-04-27,heartbeat,claude-opus-4-6,6,2396,105408,17157
2026-04-28,heartbeat,claude-opus-4-6,5,2097,79188,16916
2026-04-28,heartbeat,claude-opus-4-6,6,2379,104678,16710
